time,TP9,AF7,AF8,TP10,AUX
1731718805792.625,-802.24609375,-158.69140625,-741.69921875,-1000,-1000
1731718805796.5312,-490.72265625,-130.859375,-952.1484375,-810.05859375,-814.94140625
1731718805800.4375,-408.203125,-147.4609375,-1000,-439.94140625,-476.07421875
1731718805804.3438,-582.51953125,-119.140625,-981.93359375,-871.09375,-882.32421875
1731718805808.25,-732.421875,-88.8671875,-839.84375,-1000,-1000
1731718805812.1562,-692.3828125,-168.9453125,-888.671875,-488.76953125,-459.9609375
1731718805816.0625,-538.57421875,-151.85546875,-963.8671875,228.515625,403.80859375
1731718805819.9688,-551.7578125,-100.5859375,-980.46875,-425.29296875,-399.4140625
1731718805823.875,-725.09765625,-98.6328125,-895.99609375,-1000,-1000
1731718805827.7812,-721.6796875,-119.140625,-820.80078125,-619.62890625,-592.28515625
1731718805831.6875,-591.796875,-145.99609375,-943.84765625,269.04296875,416.9921875
1731718805835.5938,-535.15625,-132.32421875,-1000,-306.15234375,-254.8828125
1731718805839.5,-703.61328125,-92.28515625,-943.359375,-1000,-1000
1731718805843.4062,-846.19140625,-141.11328125,-764.6484375,-639.16015625,-585.44921875
1731718805847.3125,-544.43359375,-178.22265625,-910.64453125,-337.40234375,-280.2734375
1731718805851.2188,-323.2421875,-103.02734375,-1000,-663.57421875,-728.515625
1731718805855.125,-632.8125,-107.421875,-971.6796875,-1000,-1000
1731718805859.0312,-922.36328125,-117.67578125,-604.00390625,-280.76171875,-78.125
1731718805862.9375,-670.41015625,-122.55859375,-751.953125,351.07421875,603.515625
1731718805866.8438,-327.63671875,-131.8359375,-1000,-393.5546875,-383.30078125
1731718805870.75,-484.86328125,-77.63671875,-982.91015625,-872.0703125,-996.09375
1731718805874.6562,-932.12890625,-128.90625,-609.375,-67.3828125,84.9609375
1731718805878.5625,-766.11328125,-145.5078125,-729.4921875,124.51171875,249.51171875
1731718805882.4688,-288.57421875,-91.796875,-1000,-671.38671875,-747.0703125
1731718805886.375,-451.171875,-84.47265625,-981.93359375,-750.9765625,-857.91015625
1731718805890.2812,-829.1015625,-90.8203125,-748.046875,-530.2734375,-670.41015625
1731718805894.1875,-693.359375,-137.6953125,-822.75390625,-665.0390625,-774.4140625
1731718805898.0938,-285.15625,-121.09375,-1000,-785.15625,-876.46484375
1731718805902,-383.30078125,-91.30859375,-992.67578125,-485.83984375,-508.7890625
1731718805905.9062,-829.1015625,-82.03125,-695.80078125,7.8125,127.9296875
1731718805909.8125,-777.83203125,-96.19140625,-639.6484375,-250.48828125,-241.2109375
1731718805913.7188,-369.140625,-124.51171875,-962.40234375,-617.67578125,-690.4296875
1731718805917.625,-346.19140625,-98.14453125,-1000,-311.03515625,-300.78125
1731718805921.5312,-707.03125,-110.3515625,-928.7109375,-198.73046875,-165.0390625
1731718805925.4375,-708.49609375,-81.54296875,-844.7265625,-863.28125,-946.77734375
1731718805929.3438,-285.64453125,-50.29296875,-945.80078125,-798.33984375,-937.01171875
1731718805933.25,-391.6015625,-119.140625,-1000,-155.76171875,-126.46484375
1731718805937.1562,-422.8515625,-88.8671875,-988.28125,-352.5390625,-327.63671875
1731718805941.0625,456.0546875,-3.90625,-904.78515625,-1000,-1000
1731718805944.9688,11.71875,-64.94140625,-951.66015625,-881.34765625,-931.15234375
1731718805948.875,-657.2265625,-133.7890625,-1000,142.578125,266.6015625
1731718805952.7812,-693.359375,-122.55859375,-923.33984375,446.77734375,616.69921875
1731718805956.6875,322.265625,22.94921875,-713.37890625,-398.4375,-390.625
1731718805960.5938,71.77734375,-51.7578125,-850.5859375,-851.5625,-918.45703125
1731718805964.5,-826.66015625,-177.734375,-991.2109375,248.046875,383.30078125
1731718805968.4062,-1000,-123.046875,-792.96875,968.75,985.3515625
1731718805972.3125,-389.16015625,-42.48046875,-912.59765625,-565.91796875,-719.7265625
1731718805976.2188,53.7109375,-18.5546875,-939.453125,-1000,-1000
1731718805980.125,-583.984375,-76.66015625,-963.8671875,-227.5390625,-184.5703125
1731718805984.0312,-778.3203125,-110.83984375,-1000,-461.9140625,-538.0859375
1731718805987.9375,-581.54296875,-59.5703125,-991.2109375,-963.8671875,-1000
1731718805991.8438,156.25,42.96875,-883.7890625,-903.3203125,-922.36328125
1731718805995.75,-481.4453125,-72.75390625,-936.5234375,-512.20703125,-551.26953125
