time,TP9,AF7,AF8,TP10,AUX
1731719252182,-106.4453125,-877.44140625,-1000,-96.19140625,NaN
1731719252185.9062,-70.80078125,-799.8046875,-996.58203125,-117.1875,NaN
1731719252189.8125,-10.7421875,-715.8203125,-987.79296875,-63.4765625,NaN
1731719252193.7188,-30.2734375,-844.23828125,-994.62890625,-48.828125,NaN
1731719252197.625,-98.6328125,-1000,-1000,-90.8203125,NaN
1731719252201.5312,-71.77734375,-998.046875,-1000,-106.93359375,NaN
1731719252205.4375,1.953125,-977.05078125,-999.51171875,-80.56640625,NaN
1731719252209.3438,-4.8828125,-973.14453125,-997.0703125,-38.57421875,NaN
1731719252213.25,-67.3828125,-964.84375,-1000,-59.08203125,NaN
1731719252217.1562,-81.0546875,-788.57421875,-994.62890625,-97.16796875,NaN
1731719252221.0625,0.48828125,-679.6875,-971.19140625,-62.01171875,NaN
1731719252224.9688,27.34375,-631.34765625,-844.7265625,-20.99609375,NaN
1731719252228.875,-42.96875,-416.50390625,-666.50390625,-56.640625,NaN
1731719252232.7812,-61.5234375,-436.5234375,-779.78515625,-90.8203125,NaN
1731719252236.6875,-6.8359375,-848.14453125,-1000,-72.75390625,NaN
1731719252240.5938,49.31640625,-774.90234375,-859.375,-54.6875,NaN
1731719252244.5,24.90234375,-320.80078125,-590.33203125,-32.71484375,NaN
1731719252248.4062,-38.0859375,-700.1953125,-848.14453125,-45.41015625,NaN
1731719252252.3125,-5.37109375,-1000,-1000,-71.77734375,NaN
1731719252256.2188,68.84765625,-1000,-1000,-40.52734375,NaN
1731719252260.125,48.828125,-738.28125,-839.35546875,-18.5546875,NaN
1731719252264.0312,-14.6484375,-473.14453125,-735.83984375,-53.22265625,NaN
1731719252267.9375,2.44140625,-832.03125,-978.515625,-60.05859375,NaN
1731719252271.8438,72.265625,-854.00390625,-952.63671875,-49.31640625,NaN
1731719252275.75,70.3125,-375,-604.98046875,-27.83203125,NaN
1731719252279.6562,9.765625,-372.0703125,-612.79296875,-24.4140625,NaN
1731719252283.5625,2.44140625,-787.109375,-959.47265625,-57.12890625,NaN
1731719252287.4688,57.12890625,-631.8359375,-829.58984375,-64.453125,NaN
1731719252291.375,62.5,-353.02734375,-586.9140625,-33.203125,NaN
1731719252295.2812,-8.7890625,-634.27734375,-746.58203125,-41.9921875,NaN
1731719252299.1875,-44.921875,-982.421875,-994.140625,-65.4296875,NaN
1731719252303.0938,8.7890625,-729.4921875,-863.76953125,-71.77734375,NaN
1731719252307,63.4765625,-140.625,-465.8203125,-62.01171875,NaN
1731719252310.9062,14.6484375,-125.48828125,-347.65625,-50.29296875,NaN
1731719252314.8125,-38.57421875,-582.51953125,-719.23828125,-76.171875,NaN
1731719252318.7188,-3.90625,-541.9921875,-795.41015625,-86.9140625,NaN
1731719252322.625,76.171875,-129.39453125,-468.75,-49.8046875,NaN
1731719252326.5312,64.94140625,-164.55078125,-388.671875,-19.04296875,NaN
1731719252330.4375,-14.6484375,-597.65625,-737.3046875,-48.33984375,NaN
1731719252334.3438,-11.23046875,-546.38671875,-816.89453125,-70.3125,NaN
1731719252338.25,59.5703125,-91.796875,-420.41015625,-28.80859375,NaN
1731719252342.1562,73.2421875,-428.7109375,-564.453125,-2.44140625,NaN
1731719252346.0625,5.859375,-790.52734375,-829.1015625,-18.06640625,NaN
1731719252349.9688,-16.6015625,-273.4375,-494.140625,-66.89453125,NaN
