time,TP9,AF7,AF8,TP10,AUX
1731725438655,-22.4609375,-488.76953125,-157.2265625,-130.37109375,NaN
1731725438658.9062,-234.375,-832.03125,-172.36328125,-102.5390625,NaN
1731725438662.8125,-225.09765625,-661.1328125,-163.0859375,-149.90234375,NaN
1731725438666.7188,-21.484375,-409.66796875,-163.0859375,-202.1484375,NaN
1731725438670.625,-4.8828125,-555.6640625,-160.15625,-167.96875,NaN
1731725438674.5312,-209.9609375,-1000,-169.921875,-107.421875,NaN
1731725438678.4375,-244.62890625,-935.05859375,-160.15625,-143.5546875,NaN
1731725438682.3438,-75.68359375,-433.59375,-131.34765625,-216.796875,NaN
1731725438686.25,31.25,-642.578125,-159.66796875,-187.5,NaN
1731725438690.1562,-100.09765625,-894.53125,-149.90234375,-101.07421875,NaN
1731725438694.0625,-262.20703125,-562.98828125,-104.98046875,-126.46484375,NaN
1731725438697.9688,-107.421875,-835.44921875,-129.8828125,-166.015625,NaN
1731725438701.875,83.0078125,-1000,-128.90625,-161.62109375,NaN
1731725438705.7812,-53.22265625,-535.64453125,-86.9140625,-105.95703125,NaN
1731725438709.6875,-237.79296875,-449.70703125,-93.75,-85.9375,NaN
1731725438713.5938,-173.33984375,-776.85546875,-99.609375,-147.94921875,NaN
1731725438717.5,27.83203125,-824.70703125,-93.75,-162.59765625,NaN
1731725438721.4062,13.671875,-937.01171875,-96.19140625,-113.76953125,NaN
1731725438725.3125,-185.05859375,-913.57421875,-73.2421875,-84.47265625,NaN
1731725438729.2188,-173.33984375,-844.7265625,-90.33203125,-117.67578125,NaN
1731725438733.125,6.34765625,-1000,-120.60546875,-150.87890625,NaN
1731725438737.0312,19.04296875,-771.97265625,-87.890625,-143.06640625,NaN
1731725438740.9375,-136.71875,-485.3515625,-76.171875,-79.1015625,NaN
1731725438744.8438,-183.59375,-761.71875,-96.19140625,-90.8203125,NaN
1731725438748.75,-37.109375,-951.66015625,-91.30859375,-133.7890625,NaN
1731725438752.6562,50.78125,-785.64453125,-77.1484375,-128.90625,NaN
