time,TP9,AF7,AF8,TP10,AUX
1731718770027,-586.42578125,-478.02734375,-784.1796875,-645.99609375,-806.640625
1731718770030.9062,-2.9296875,-468.26171875,-884.765625,-556.15234375,-55.6640625
1731718770034.8125,312.01171875,-433.10546875,-1000,-993.1640625,599.609375
1731718770038.7188,-476.5625,-427.734375,-992.1875,-1000,-51.26953125
1731718770042.625,-741.2109375,-443.359375,-813.96484375,-733.3984375,-597.16796875
1731718770046.5312,203.61328125,-454.1015625,-694.82421875,174.31640625,202.1484375
1731718770050.4375,895.01953125,-431.640625,-813.96484375,-702.1484375,916.50390625
1731718770054.3438,483.88671875,-419.43359375,-972.65625,-1000,216.796875
1731718770058.25,-417.48046875,-418.9453125,-858.88671875,-790.0390625,-660.15625
1731718770062.1562,-327.63671875,-432.6171875,-660.64453125,269.53125,-83.0078125
1731718770066.0625,384.765625,-483.88671875,-893.5546875,-511.23046875,593.75
1731718770069.9688,155.76171875,-509.27734375,-1000,-1000,166.50390625
1731718770073.875,36.1328125,-483.88671875,-808.10546875,-926.7578125,-120.1171875
1731718770077.7812,362.3046875,-470.21484375,-507.8125,264.16015625,153.80859375
1731718770081.6875,474.12109375,-457.51953125,-794.921875,-275.390625,529.296875
1731718770085.5938,86.42578125,-457.51953125,-1000,-1000,223.6328125
1731718770089.5,-422.36328125,-459.47265625,-954.58984375,-1000,-292.96875
1731718770093.4062,184.5703125,-430.6640625,-489.74609375,-71.2890625,304.19921875
1731718770097.3125,996.09375,-436.5234375,-446.77734375,577.63671875,999.51171875
1731718770101.2188,517.08984375,-452.63671875,-985.83984375,-764.6484375,369.62890625
1731718770105.125,-6.8359375,-458.0078125,-1000,-1000,-230.46875
1731718770109.0312,192.3828125,-451.171875,-615.234375,-767.578125,155.2734375
1731718770112.9375,72.265625,-482.91015625,-687.98828125,733.88671875,127.9296875
1731718770116.8438,-130.37109375,-541.50390625,-1000,200.68359375,2.44140625
1731718770120.75,31.73828125,-494.140625,-1000,-1000,117.67578125
1731718770124.6562,648.4375,-449.21875,-577.63671875,-903.80859375,512.6953125
1731718770128.5625,709.47265625,-459.47265625,-415.52734375,654.296875,388.671875
1731718770132.4688,327.1484375,-492.67578125,-878.90625,964.35546875,385.7421875
1731718770136.375,270.01953125,-478.02734375,-992.1875,-777.83203125,414.55078125
1731718770140.2812,669.43359375,-405.76171875,-561.03515625,-1000,614.74609375
1731718770144.1875,559.08203125,-442.3828125,-353.02734375,649.4140625,425.29296875
1731718770148.0938,88.8671875,-469.7265625,-793.9453125,999.0234375,140.625
1731718770152,134.27734375,-500,-1000,-667.96875,444.3359375
1731718770155.9062,598.14453125,-502.9296875,-705.078125,-1000,650.390625
1731718770159.8125,-43.9453125,-502.9296875,-621.09375,291.9921875,-345.21484375
1731718770163.7188,-66.89453125,-541.015625,-812.98828125,999.51171875,-332.51953125
1731718770167.625,651.3671875,-501.46484375,-958.49609375,153.80859375,562.01171875
1731718770171.5312,375,-466.796875,-913.0859375,-1000,176.26953125
1731718770175.4375,-205.078125,-461.9140625,-684.5703125,-140.625,-581.0546875
1731718770179.3438,-91.30859375,-497.0703125,-667.96875,999.51171875,-265.13671875
1731718770183.25,626.953125,-517.08984375,-937.01171875,806.640625,654.296875
1731718770187.1562,665.52734375,-472.65625,-875,-785.15625,729.98046875
1731718770191.0625,104.00390625,-466.796875,-581.0546875,-801.26953125,125.9765625
1731718770194.9688,235.3515625,-492.1875,-415.0390625,875,257.32421875
1731718770198.875,719.7265625,-500.48828125,-708.49609375,970.21484375,805.17578125
1731718770202.7812,339.84375,-524.4140625,-1000,-704.58984375,375.48828125
1731718770206.6875,-306.640625,-537.59765625,-927.24609375,-1000,-503.90625
1731718770210.5938,-273.92578125,-538.0859375,-633.7890625,611.81640625,-457.03125
1731718770214.5,728.515625,-487.3046875,-509.27734375,999.51171875,746.58203125
1731718770218.4062,896.97265625,-452.1484375,-701.171875,-285.15625,850.09765625
1731718770222.3125,-5.37109375,-471.19140625,-874.0234375,-1000,-285.15625
1731718770226.2188,-17.578125,-460.9375,-525.390625,359.86328125,-328.61328125
1731718770230.125,616.2109375,-482.421875,-482.421875,999.51171875,600.09765625
1731718770234.0312,676.26953125,-506.34765625,-915.52734375,249.51171875,853.515625
1731718770237.9375,268.5546875,-490.234375,-902.34375,-1000,351.5625
1731718770241.8438,112.3046875,-469.7265625,-560.546875,-456.0546875,-27.34375
1731718770245.75,766.11328125,-464.35546875,-288.0859375,999.51171875,736.328125
1731718770249.6562,646.484375,-492.1875,-774.90234375,890.13671875,672.36328125
1731718770253.5625,2.9296875,-507.32421875,-1000,-762.6953125,-219.23828125
1731718770257.4688,127.9296875,-485.83984375,-748.53515625,-938.96484375,-281.73828125
1731718770261.375,347.65625,-499.0234375,-486.328125,807.12890625,90.8203125
