time,TP9,AF7,AF8,TP10,AUX
1731719405429.75,-52.734375,-479.98046875,-729.00390625,-63.96484375,NaN
1731719405433.6562,17.08984375,-581.0546875,-776.85546875,-20.01953125,NaN
1731719405437.5625,6.34765625,-124.51171875,-356.93359375,7.8125,NaN
1731719405441.4688,-51.26953125,-123.53515625,-362.3046875,-33.69140625,NaN
1731719405445.375,-49.31640625,-561.5234375,-759.765625,-72.75390625,NaN
1731719405449.2812,-5.37109375,-794.921875,-927.24609375,-38.0859375,NaN
1731719405453.1875,0.48828125,-556.15234375,-648.4375,-3.41796875,NaN
1731719405457.0938,-37.109375,-285.64453125,-417.48046875,-12.6953125,NaN
1731719405461,-47.36328125,-505.37109375,-649.4140625,-29.78515625,NaN
1731719405464.9062,-3.90625,-965.8203125,-996.58203125,-32.71484375,NaN
1731719405468.8125,3.41796875,-364.2578125,-546.875,-20.01953125,NaN
1731719405472.7188,-37.109375,122.55859375,-146.97265625,-11.23046875,NaN
1731719405476.625,-54.6875,-487.3046875,-633.30078125,-41.9921875,NaN
1731719405480.5312,-37.109375,-656.73828125,-862.3046875,-63.4765625,NaN
1731719405484.4375,-3.90625,-249.0234375,-561.03515625,-19.53125,NaN
1731719405488.3438,-10.7421875,-75.1953125,-312.98828125,-4.39453125,NaN
1731719405492.25,-49.8046875,-451.171875,-612.79296875,-29.78515625,NaN
1731719405496.1562,-54.19921875,-868.1640625,-1000,-41.9921875,NaN
1731719405500.0625,-8.30078125,-594.23828125,-824.21875,-42.96875,NaN
1731719405503.9688,-11.23046875,-357.421875,-547.8515625,-24.4140625,NaN
1731719405507.875,-67.87109375,-829.1015625,-860.3515625,-20.99609375,NaN
1731719405511.7812,-74.21875,-714.84375,-872.0703125,-61.03515625,NaN
1731719405515.6875,-23.4375,-503.41796875,-809.5703125,-61.03515625,NaN
1731719405519.5938,5.859375,-499.0234375,-705.56640625,1.953125,NaN
1731719405523.5,-40.52734375,-814.94140625,-868.65234375,11.23046875,NaN
1731719405527.4062,-80.078125,-683.59375,-881.34765625,-51.7578125,NaN
1731719405531.3125,-32.71484375,-350.09765625,-713.8671875,-72.75390625,NaN
1731719405535.2188,5.37109375,-382.32421875,-669.921875,-36.1328125,NaN
1731719405539.125,-28.80859375,-404.78515625,-580.56640625,-9.765625,NaN
1731719405543.0312,-65.4296875,-730.46875,-842.7734375,-31.25,NaN
1731719405546.9375,-45.41015625,-864.74609375,-1000,-57.12890625,NaN
1731719405550.8438,-18.06640625,-669.43359375,-904.296875,-53.7109375,NaN
1731719405554.75,-34.1796875,-528.80859375,-691.89453125,-25.390625,NaN
1731719405558.6562,-73.73046875,-265.13671875,-509.765625,-40.0390625,NaN
1731719405562.5625,-70.3125,-438.96484375,-739.2578125,-69.82421875,NaN
1731719405566.4688,-8.30078125,-970.21484375,-1000,-24.4140625,NaN
1731719405570.375,12.20703125,-969.23828125,-956.0546875,13.671875,NaN
1731719405574.2812,-65.91796875,-487.79296875,-725.5859375,-30.76171875,NaN
1731719405578.1875,-83.984375,-665.0390625,-938.4765625,-67.3828125,NaN
1731719405582.0938,-21.484375,-914.0625,-1000,-46.875,NaN
1731719405586,-12.6953125,-312.5,-559.08203125,-10.25390625,NaN
1731719405589.9062,-69.3359375,-420.41015625,-664.0625,-25.87890625,NaN
1731719405593.8125,-98.14453125,-974.12109375,-987.3046875,-79.58984375,NaN
1731719405597.7188,-30.2734375,-1000,-1000,-74.21875,NaN
1731719405601.625,6.34765625,-590.8203125,-791.015625,-41.9921875,NaN
1731719405605.5312,-51.26953125,-149.90234375,-506.8359375,-17.08984375,NaN
1731719405609.4375,-90.8203125,-459.47265625,-752.9296875,-14.16015625,NaN
1731719405613.3438,-64.94140625,-974.12109375,-1000,-83.49609375,NaN
1731719405617.25,-24.4140625,-822.75390625,-993.1640625,-74.21875,NaN
1731719405621.1562,-39.55078125,-776.3671875,-995.60546875,-30.76171875,NaN
1731719405625.0625,-86.42578125,-1000,-1000,-52.734375,NaN
1731719405628.9688,-67.3828125,-1000,-1000,-55.17578125,NaN
1731719405632.875,-2.44140625,-994.62890625,-1000,-47.8515625,NaN
1731719405636.7812,-2.44140625,-997.55859375,-1000,-37.109375,NaN
1731719405640.6875,-53.7109375,-1000,-1000,-27.34375,NaN
1731719405644.5938,-70.3125,-985.83984375,-1000,-49.31640625,NaN
1731719405648.5,-31.25,-831.0546875,-1000,-63.96484375,NaN
1731719405652.4062,0.48828125,-765.13671875,-1000,-22.4609375,NaN
1731719405656.3125,-30.2734375,-955.56640625,-1000,2.9296875,NaN
1731719405660.2188,-71.2890625,-1000,-999.0234375,-41.9921875,NaN
1731719405664.125,-43.45703125,-1000,-1000,-69.3359375,NaN
1731719405668.0312,-6.34765625,-909.66796875,-987.3046875,-49.8046875,NaN
1731719405671.9375,-41.015625,-870.60546875,-983.88671875,-32.71484375,NaN
1731719405675.8438,-89.35546875,-883.30078125,-1000,-45.41015625,NaN
1731719405679.75,-76.66015625,-958.49609375,-1000,-72.75390625,NaN
1731719405683.6562,-31.25,-1000,-999.51171875,-59.08203125,NaN
1731719405687.5625,-33.69140625,-1000,-1000,-14.6484375,NaN
1731719405691.4688,-82.51953125,-925.78125,-999.0234375,-27.34375,NaN
1731719405695.375,-97.65625,-699.21875,-985.83984375,-78.125,NaN
1731719405699.2812,-37.59765625,-735.3515625,-1000,-61.5234375,NaN
1731719405703.1875,-25.390625,-823.2421875,-969.7265625,-16.6015625,NaN
1731719405707.0938,-79.1015625,-517.08984375,-805.17578125,-11.71875,NaN
1731719405711,-83.49609375,-592.7734375,-920.41015625,-38.57421875,NaN
1731719405714.9062,-39.55078125,-967.28515625,-1000,-62.98828125,NaN
1731719405718.8125,-10.7421875,-716.796875,-851.07421875,-28.80859375,NaN
1731719405722.7188,-50.78125,-214.84375,-499.0234375,-9.765625,NaN
1731719405726.625,-94.23828125,-544.43359375,-740.72265625,-57.12890625,NaN
1731719405730.5312,-50.29296875,-1000,-1000,-61.5234375,NaN
1731719405734.4375,-4.39453125,-1000,-1000,-14.6484375,NaN
1731719405738.3438,-36.1328125,-645.99609375,-749.51171875,15.625,NaN
1731719405742.25,-83.984375,-339.84375,-586.42578125,-24.4140625,NaN
1731719405746.1562,-67.3828125,-726.07421875,-932.6171875,-72.75390625,NaN
1731719405750.0625,-10.7421875,-722.16796875,-892.08984375,-54.19921875,NaN
1731719405753.9688,-21.97265625,-143.06640625,-386.71875,-17.578125,NaN
1731719405757.875,-67.87109375,-138.671875,-379.39453125,-28.3203125,NaN
1731719405761.7812,-64.453125,-706.54296875,-868.65234375,-41.9921875,NaN
1731719405765.6875,-13.671875,-571.77734375,-837.890625,-24.4140625,NaN
1731719405769.5938,2.9296875,-114.2578125,-437.01171875,1.953125,NaN
1731719405773.5,-54.6875,-148.92578125,-355.46875,-22.4609375,NaN
1731719405777.4062,-75.1953125,-820.3125,-863.76953125,-51.7578125,NaN
1731719405781.3125,-28.3203125,-957.51953125,-1000,-46.875,NaN
1731719405785.2188,-9.765625,-117.67578125,-358.88671875,-32.2265625,NaN
1731719405789.125,-50.29296875,-50.29296875,-210.9375,-20.5078125,NaN
1731719405793.0312,-76.66015625,-828.125,-850.5859375,-42.48046875,NaN
1731719405796.9375,-43.9453125,-618.65234375,-791.015625,-70.3125,NaN
1731719405800.8438,-14.16015625,-74.21875,-381.34765625,-38.57421875,NaN
1731719405804.75,-31.25,-209.9609375,-380.37109375,-13.18359375,NaN
1731719405808.6562,-60.05859375,-743.1640625,-786.62109375,-27.83203125,NaN
1731719405812.5625,-53.22265625,-500.9765625,-702.1484375,-48.33984375,NaN
1731719405816.4688,-10.25390625,-166.015625,-473.6328125,-31.25,NaN
1731719405820.375,-0.48828125,-256.8359375,-424.31640625,7.8125,NaN
1731719405824.2812,-47.36328125,-645.01953125,-633.7890625,-8.7890625,NaN
