time,TP9,AF7,AF8,TP10,AUX
1731725532405,-98.6328125,-455.56640625,-681.15234375,-44.921875,NaN
1731725532408.9062,-93.26171875,-301.7578125,-671.38671875,-44.921875,NaN
1731725532412.8125,-79.58984375,-284.1796875,-771.484375,-32.2265625,NaN
1731725532416.7188,-96.6796875,-665.52734375,-922.8515625,-22.4609375,NaN
1731725532420.625,-136.23046875,-791.9921875,-908.69140625,-29.78515625,NaN
1731725532424.5312,-136.23046875,-689.94140625,-925.78125,-52.24609375,NaN
1731725532428.4375,-120.1171875,-559.5703125,-901.85546875,-41.50390625,NaN
1731725532432.3438,-100.5859375,-650.87890625,-882.8125,-5.859375,NaN
1731725532436.25,-108.3984375,-776.3671875,-854.98046875,-10.25390625,NaN
1731725532440.1562,-120.1171875,-338.37890625,-662.59765625,-43.9453125,NaN
1731725532444.0625,-73.73046875,-382.32421875,-832.51953125,-36.1328125,NaN
1731725532447.9688,-46.38671875,-520.99609375,-898.92578125,-27.34375,NaN
1731725532451.875,-74.21875,-299.8046875,-599.12109375,-37.109375,NaN
1731725532455.7812,-100.09765625,-291.50390625,-634.27734375,-47.36328125,NaN
1731725532459.6875,-42.48046875,-578.61328125,-945.3125,-33.203125,NaN
1731725532463.5938,7.8125,-573.73046875,-871.09375,-20.01953125,NaN
1731725532467.5,-17.08984375,-365.72265625,-648.92578125,-21.97265625,NaN
1731725532471.4062,-38.57421875,-735.3515625,-890.625,-17.578125,NaN
1731725532475.3125,-26.3671875,-997.0703125,-1000,-25.87890625,NaN
1731725532479.2188,-12.6953125,-1000,-1000,-35.64453125,NaN
1731725532483.125,-27.34375,-772.94921875,-890.13671875,-34.66796875,NaN
1731725532487.0312,-43.45703125,-250.9765625,-619.140625,-31.73828125,NaN
1731725532490.9375,-28.80859375,-500,-808.59375,-34.1796875,NaN
1731725532494.8438,-17.08984375,-685.546875,-966.30859375,-33.69140625,NaN
1731725532498.75,-33.69140625,-267.08984375,-683.10546875,-29.78515625,NaN
1731725532502.6562,-37.59765625,-162.59765625,-564.453125,-35.64453125,NaN
1731725532506.5625,-44.921875,-624.51171875,-821.77734375,-33.203125,NaN
1731725532510.4688,-54.6875,-819.3359375,-997.55859375,-24.4140625,NaN
1731725532514.375,-17.08984375,-606.4453125,-970.21484375,-18.06640625,NaN
1731725532518.2812,-43.9453125,-718.75,-961.42578125,-17.08984375,NaN
1731725532522.1875,-86.42578125,-919.921875,-971.19140625,-44.921875,NaN
1731725532526.0938,-103.02734375,-849.609375,-977.05078125,-50.78125,NaN
